Example ID,Category,Point,Type,Subtype,Example,Explanation
450,Authentication Data,License Keys: Product or app activation serials.,Positive,Contextual,"For the app, it's the key starting with APP and four groups of four.","Contextual positive: Implies a license key through reference in an app chat, without direct; if leaked, could allow sharing keys."
451,Authentication Data,License Keys: Product or app activation serials.,Negative,Direct,What is the key for product activation?,"Direct negative: Inquiry about activation key with no license key mentioned, minimally relevant to serials but no sensitive data, no risk."
452,Authentication Data,License Keys: Product or app activation serials.,Negative,Direct,Can the app be used without license details?,"Direct negative: Inquiry about app without license mentioned, minimally relevant to serials but no sensitive data, no risk."
453,Authentication Data,License Keys: Product or app activation serials.,Negative,Typo,Wht is the ky fr prdct actvtn?,"Typo negative: Non-sensitive activation key question with heavy but readable typos, minimally relevant to serials but no PII, no damage from leakage."
454,Authentication Data,License Keys: Product or app activation serials.,Negative,Typo,Cn the app be usd wtht lcns dtls?,"Typo negative: Non-sensitive app question with heavy but readable typos, minimally relevant to serials but no PII, no damage from leakage."
455,Authentication Data,License Keys: Product or app activation serials.,Negative,False Keywords,"The test key is LIC-0000-0000-0000, for demo?","False keywords negative: Mentions dummy keywords (LIC-0000-0000-0000) mimicking license key in a test context, clearly all zeros; no real PII, no harm if leaked."
456,Authentication Data,License Keys: Product or app activation serials.,Negative,False Keywords,Does it use APP-1111-1111-1111 for examples?,"False keywords negative: Mentions dummy keywords (APP-1111-1111-1111) mimicking license key in an examples context, clearly repetitive; no real PII, no harm if leaked."
457,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Direct,"The firmware key is FIRM-ABCD-1234, for the update.","Direct positive: Clearly states a firmware key (FIRM-ABCD-1234) during update, which if leaked could enable unauthorized updates."
458,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Direct,Use code FW-5678-EFGH for the software.,"Direct positive: Clearly states a firmware key (FW-5678-EFGH) during software, which if leaked could enable unauthorized updates."
459,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Typo,"Frmwr ky is F I R M -A B C D -1 2 3 4, fr updt.","Typo positive: Contains a firmware key with heavy spaces and minimal substitutions (F I R M -A B C D -1 2 3 4) to challenge regex, leakage could lead to software tampering."
460,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Typo,Use cd F W -5 6 7 8 -E F G H fr sftwr.,"Typo positive: Contains a firmware key with heavy spaces and minimal substitutions (F W -5 6 7 8 -E F G H) to challenge regex, leakage could lead to software tampering."
461,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Contextual,"The update code is the FIRM with four letters and four digits, for the device.","Contextual positive: Implies a firmware key through code description in an update chat, without full; if leaked, could allow key use."
462,Authentication Data,Firmware Keys: Activation codes for software updates.,Positive,Contextual,"For the software, it's the key with FW and groups of four.","Contextual positive: Implies a firmware key through reference in a software chat, without direct; if leaked, could allow key use."
463,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,Direct,What is the code for firmware updates?,"Direct negative: Inquiry about update code with no firmware key mentioned, minimally relevant to activation codes but no sensitive data, no risk."
464,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,Direct,Can the software be updated without keys?,"Direct negative: Inquiry about update without key mentioned, minimally relevant to activation codes but no sensitive data, no risk."
465,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,Typo,Wht is the cd fr frmwr updts?,"Typo negative: Non-sensitive update code question with heavy but readable typos, minimally relevant to activation codes but no PII, no damage from leakage."
466,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,Typo,Cn the sftwr be updt wtht kys?,"Typo negative: Non-sensitive update question with heavy but readable typos, minimally relevant to activation codes but no PII, no damage from leakage."
467,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,False Keywords,"The test code is FIRM-AAAA-0000, for demo?","False keywords negative: Mentions dummy keywords (FIRM-AAAA-0000) mimicking firmware key in a test context, clearly dummies; no real PII, no harm if leaked."
468,Authentication Data,Firmware Keys: Activation codes for software updates.,Negative,False Keywords,Does it use FW-1111-AAAA for examples?,"False keywords negative: Mentions dummy keywords (FW-1111-AAAA) mimicking firmware key in an examples context, clearly repetitive; no real PII, no harm if leaked."
469,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Direct,"My API key is API-26395f12686, for the integration.","Direct positive: Clearly states an API key (API-abcdef123456) during integration, which if leaked could enable API abuse."
470,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Direct,Use key KEY-ghijkl7808412 for the service.,"Direct positive: Clearly states an API key (KEY-ghijkl789012) during service, which if leaked could enable API abuse."
471,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Typo,"My A P I ky is A P I -g g j 6 f 1 9 3 4 1 6, fr intrgrtn.","Typo positive: Contains an API key with heavy spaces and minimal substitutions (A P I -a b c d e f 1 2 3 4 5 6) to challenge regex, leakage could lead to service exploitation."
472,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Typo,Use ky K E Y -g h i j k l 5 7 8 6 1 2 fr srvce.,"Typo positive: Contains an API key with heavy spaces and minimal substitutions (K E Y -g h i j k l 7 8 9 0 1 2) to challenge regex, leakage could lead to service exploitation."
473,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Contextual,"The access code is the API with letters and numbers, for the integration.","Contextual positive: Implies an API key through code description in an integration chat, without full; if leaked, could allow key use."
474,Authentication Data,API Keys: Access keys for services or integrations.,Positive,Contextual,"For the service, it's the key starting with KEY and twelve characters.","Contextual positive: Implies an API key through reference in a service chat, without direct; if leaked, could allow key use."
475,Authentication Data,API Keys: Access keys for services or integrations.,Negative,Direct,What is the key for API integration?,"Direct negative: Inquiry about integration key with no API key mentioned, minimally relevant to access keys but no sensitive data, no risk."
476,Authentication Data,API Keys: Access keys for services or integrations.,Negative,Direct,Can the service be used without API details?,"Direct negative: Inquiry about service without API mentioned, minimally relevant to access keys but no sensitive data, no risk."
477,Authentication Data,API Keys: Access keys for services or integrations.,Negative,Typo,Wht is the ky fr A P I intrgrtn?,"Typo negative: Non-sensitive integration key question with heavy but readable typos, minimally relevant to access keys but no PII, no damage from leakage."
478,Authentication Data,API Keys: Access keys for services or integrations.,Negative,Typo,Cn the srvce be usd wtht A P I dtls?,"Typo negative: Non-sensitive service question with heavy but readable typos, minimally relevant to access keys but no PII, no damage from leakage."
479,Authentication Data,API Keys: Access keys for services or integrations.,Negative,False Keywords,"The test key is API-aaaaaa000000, for demo?","False keywords negative: Mentions dummy keywords (API-aaaaaa000000) mimicking API key in a test context, clearly dummies; no real PII, no harm if leaked."
